#separator:tab
#html:false
Kloster	Monastery
Monastery	Kloster
Mönch	mock
mock	Mönch
etw. ausschütten	to spill sth.
to spill sth.	etw. ausschütten
Besteck	cutlery
cutlery	Besteck
etwas festbinden	to lash sth.
to lash sth.	etwas festbinden
Grenze	frontier
frontier	Grenze
binden	to tether
to tether	binden
Sehensucht	longing
longing	Sehensucht
hocken	to perch
to perch	hocken
etwas gestehen	to confess sth.
to confess sth.	etwas gestehen
Elch	moose
moose	Elch
Barmherzigkeit	compassion
compassion	Barmherzigkeit
Dankbarkeit	gratitude
gratitude	Dankbarkeit
Achtsamkeit	mindfulness
mindfulness	Achtsamkeit
Garderobe	cloackroom
cloackroom	Garderobe
gelegentlich	occasionally
occasionally	gelegentlich
von etwas absteigen	to dismount of sth.
to dismount of sth.	von etwas absteigen
Steckdose	power socket
power socket	Steckdose
berüchtigt	notorious
notorious	berüchtigt
Zustimmung	consent
consent	Zustimmung
etwas schleppen	to haul sth.
to haul sth.	etwas schleppen
Schraube	screw / bold
screw / bold	Schraube
Scheu	awe
awe	Scheu
etwas streuen	to scatter
to scatter	etwas streuen
demütigend	humbling
humbling	demütigend
Sägewerk	sawmill
sawmill	Sägewerk
Schlaflosigkeit	insomnia
insomnia	Schlaflosigkeit
taub	numb
numb	taub
Verbindung	conjuction
conjuction	Verbindung
verfallen	to decay
to decay	verfallen
etwas nutzbar machen	to harness sth.
to harness sth.	etwas nutzbar machen
Verständnis	comprehension
comprehension	Verständnis
Gewölbe	vault
vault	Gewölbe
Geduld	patience
patience	Geduld
Folter	torture
torture	Folter
ersticken	to suffocate
to suffocate	ersticken
nachtaktiv	nocturnal
nocturnal	nachtaktiv
tagaktiv	diurnal
diurnal	tagaktiv
kahl	bald
bald	kahl
etwas aufrechterhalten	to sustain sth.
to sustain sth.	etwas aufrechterhalten
mein Beileid	my condolences
my condolences	mein Beileid
Angriff	assault
assault	Angriff
Erholung	recreation
recreation	Erholung
Hilfe	aid
aid	Hilfe
Zufall	coincidence
coincidence	Zufall
Reh	deer
deer	Reh
Robbe	seal
seal	Robbe
Baumschule	nursery
nursery	Baumschule
Festland	mainland
mainland	Festland
Angel	fishing rod
fishing rod	Angel
Umstände	cirmustances
cirmustances	Umstände
unbefugtes Betreten	trespassing
trespassing	unbefugtes Betreten
Verwandte	relatives
relatives	Verwandte
zerbröckeln	to crumble
to crumble	zerbröckeln
lästern	to blaspheme
to blaspheme	lästern
faul/vergammelt 	rotten
rotten	faul/vergammelt 
Blähungen	bloatings
bloatings	Blähungen
Kolben	cob
cob	Kolben
Trauer	sorrow
sorrow	Trauer
Idee / Vorstellung	notion
notion	Idee / Vorstellung
Verpackung	packaging
packaging	Verpackung
etwas ausdrücken	to express sth.
to express sth.	etwas ausdrücken
großzügig	generous
generous	großzügig
ermutigen	to encourage
to encourage	ermutigen
abscheulich	abhorrent
abhorrent	abscheulich
Rasenmäher	lawn mower
lawn mower	Rasenmäher
Koriander	cilantro
cilantro	Koriander
lauschen	to eavesdrop
to eavesdrop	lauschen
